PowerSupply,MRP
artis VIP 400R 12 Plus 400 Watts PSU,₹999
Ant Esports VS450L 450 Watts PSU,"₹1,650"
Ant Esports VS400L 400 Watts PSU,"₹1,069"
ZEBRONICS SMPS ZEB-N450W (DSATA- 20+4 Pin) Power Supply (Silver) 450 Watts PSU,₹999
"Frontech PS-0005 SMPS Compliant with ATX 12V, 20/24 Pin Power Supply Unit 450 Watts PSU",₹569
ZEBRONICS ZEB-VS500Z 500 Watts PSU,"₹1,999"
"COOLER MASTER MWE 450 Bronze V2 230v, 80 Plus Bronze Certified 450 Watts PSU","₹3,349"
ARS INFOTECH SMPS (DSATA- 20+4 Pin) Power Supply (Silver) 240 Watts PSU,₹583
ZEBRONICS SMPS ZEB-N450W (DSATA) 450 Watts PSU,₹724
COOLER MASTER MWE 450 Bronze 450 Watts PSU,"₹3,349"
Deepcool PM850D 850 Watts PSU,"₹8,035"
"COOLER MASTER MWE Gold V2, FM 1250W A/IN Cable 1250 Watts PSU","₹20,999"
"ENTWINO WARRIOR Gaming Cabinet,Supports 7 RGB Fans,Tempered Glass,NO Fans & Power Supply Full Tower Premium Gaming CPU Case Cabinet","₹6,949"
TRP Traders T1000S LED RGB Full Color Programmable Pixel Controller with SD Card DC5V / DC 7.5 â 24V for WS2811 2801 LPD8806 6803 1903 (Controller) 60 Watts PSU,"₹1,250"
artis VIP500 GOLD Super Silent Power Supply 500 Watts PSU,"₹2,199"
BTronics 12V 33A / 400W DC Switched SMPS Power Supply (12V-33A Rainproof) 400 Watts PSU,"₹1,299"
EVGA 110-BQ-0750-VN BQ 750 Watts PSU,"₹7,699"
EVGA 220-GT-1300-XN SupernovaGT 1300 Watts PSU,"₹25,899"
ASUS TUF Gaming 650B 650 Watts PSU,"₹8,340"
DHRUV-PRO Led Indicator 24 Volt / 5 Amp DC Output Power Supply Metal Case Type Power Supply Adaptor AC Input 100/240vAC 120 Watts PSU,₹749
Nzxt 850 W 80+ GOLD FULL MODULAR 850 Watts PSU,"₹10,851"
Deepcool DQ1000M-V3L 80 Plus Gold Fully Modular 1000 Watts PSU,"₹12,705"
EnterGo E-500B 500-Watt Computer Power Supply (Black) 500 Watts PSU,₹659
EVGA 220-GT-0850-YN SupernovaGT 850 Watts PSU,"₹10,999"
Thermaltake Smart BX1 750W 750 Watts PSU,"₹6,999"
artis 2220 2.0C Micro ATX Cabinet,"₹2,399"
Enter Computer Power Supply 500w Model No. E-500F 500 Watts PSU,₹743
LAPCARE LPS450 450 Watts PSU,₹730
LAPCARE LPS450 450 Watts PSU,₹670
Divinext 5 Volt 60 Amp 300 Watt Switching Power Supply SMPS Adapter DC5V 300 Watts 300 Watts PSU,"₹1,199"
TRP Traders Rainproof 12 Volt 8 Amp SMPS Dc Power Supply for CCTV and LED Strip Light 100 Watts PSU,₹740
Frontech PS-0005 450 Watts PSU,₹780
MILLENNIUM TECHNOLOGY ATX-450 450 Watts PSU,₹699
COOLER MASTER V SFX Gold 750W A/UK Cable 750 Watts PSU,"₹12,873"
COOLER MASTER MWE Gold V2 FM 750W A/UK Cable 750 Watts PSU,"₹9,449"
TRP Traders 12V 8 Amp SMPS DC Switching Power Supply for CCTV and LED Light 1 year Warranty 100 Watts PSU,₹699
COOLER MASTER MWE Gold V2 FM 850W A/UK Cable 850 Watts PSU,"₹10,799"
Thermaltake Litepower RGB 650W 650 Watts PSU,"₹4,699"
